StateName,lat,lon,y2005,y2006,y2007,y2008,y2009,y2010,y2011,y2012,y2013,y2014,y2015,minDuration,bufferZone,details
Alabama,32.806671,-86.79113,12,11,19,21,22,28,28,25,27,28,29,100,2000,"2,000 ft. of school, child care facility, resident camp facility, victim or victim’s immediate family; exceptions apply. §15- 20A-11. Additional restrictions apply to residence with any minor."
Alaska,61.370716,-152.404419,43,62,45,77,27,26,38,27,29,44,30,15,,-
Arizona,33.729759,-111.431221,16,19,23,23,23,23,22,22,22,22,23,10,,-
Arkansas,34.969704,-92.373123,21,23,27,28,32,35,31,39,44,34,51,15,2000,"2,000 ft. of elementary or secondary school, public park, day care center, youth center. L3 & L4 offenders: 2,000 ft. of victim. L4 offenders: 2,000 ft. of church"
California,36.116203,-119.681564,29,24,24,18,17,23,33,33,21,21,21,100,2000,"2,000 ft. of schools and parks. §3003.5(b). NOTE: this statute was declared unconstitutional as applied to certain parolees by In re Taylor, 60 Cal. 4th 1019 (2015) and is no longer being enforced by the state. However, local governments may enforce this statute or local ordinances."
Colorado,39.059811,-105.311104,18,19,24,20,14,22,29,29,31,32,33,100,,-
Connecticut,41.597782,-72.755371,11,12,13,13,14,14,15,15,15,15,16,10,,-
Delaware,39.318523,-75.507141,35,35,8,39,42,44,44,51,53,50,50,15,500,May not reside or loiter within 500 ft. of school property. §1112.
District of Columbia,38.897438,-77.026817,11,11,58,13,14,15,15,15,15,15,15,10,,-
Florida,27.766279,-81.686783,19,20,24,26,28,28,25,30,31,32,33,100,1000,"May not reside within 1,000 ft. of school, child care facility, park, or playground under certain circumstances. §775.215"
Georgia,33.040619,-83.643074,10,13,15,16,17,19,21,22,23,25,27,100,1000,"May not reside, loiter, or be employed within 1,000 ft. of child care facility, church, school, or area where minors congregate. Certain other employment restrictions apply. §§42-1-15 through 42-1-17."
Hawaii,21.094318,-157.498337,15,17,18,19,21,22,25,24,21,21,21,100,,-
Idaho,44.240459,-114.478828,18,19,19,20,21,22,23,23,24,25,26,10,500,"May not reside or loiter within 500 ft. of school, and may not reside within more than one person also required to register, with certain exceptions. §§18-8331, 18-8332."
Illinois,40.349457,-88.986137,14,14,19,15,18,16,17,22,17,18,18,10,500,"“Child sex offender” may not reside w/in 500 ft. of school, park, playground, or facility where minors gather. §730 I.L.C.S. §150/8."
Indiana,39.849426,-86.258278,12,13,14,15,19,16,14,15,22,17,17,10,,Paroled registrants face certain residence restrictions. §11-13-3-4.
Iowa,42.011539,-93.210526,21,20,21,18,16,23,17,17,19,19,17,10,2000,"Registrants with convictions of involving minors for “sexual abuse” in the 1st or 2nd degree, or in the 3d degree except for a conviction under I.C. §709.4(2)(c)(4), may not reside w/in 2,000 ft. of daycare center."
Kansas,38.5266,-96.726486,13,14,17,21,41,34,21,22,26,30,33,15,,"None, and local residence restrictions are expressly prohibited by K.S.A. §22-4913."
